model,subject,idx,gold,pred,correct,raw,gen_tps,prompt_tps,prompt_tokens,total_ms,error
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,0,D,D,1,D,32.71501946543658,117.81463594391668,133,32060.86230278015,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,1,D,A,0,A,50.2373715807189,140.46748775392484,141,31378.953456878662,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,2,A,D,0,D,32.92885720401073,117.67280153655393,121,34895.05076408386,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,3,A,A,1,A,51.52779924769413,149.80138969596902,182,33008.30101966858,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,4,C,B,0,B,38.20293398533007,134.64500004207656,112,33541.53776168823,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,5,D,D,1,D,49.379058341357435,123.3997440130858,137,32038.140058517456,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,6,C,A,0,A,38.10467353820946,135.52070199723636,112,33609.45653915405,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,7,D,D,1,D,71.23775601068567,482.9483776922157,109,1142.2200202941895,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,8,A,A,1,A,71.93985827847919,433.67443983718186,114,1189.6932125091553,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,9,A,A,1,A,76.68417622023695,332.0186973957876,140,1332.7860832214355,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,10,B,C,0,C,73.93988687197309,388.89002599422804,133,1256.1938762664795,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,11,D,C,0,C,67.6887670491082,437.43700122648585,115,1129.3656826019287,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,12,D,B,0,B,70.35317292809906,479.5864898709557,108,1150.156021118164,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,13,D,D,1,D,70.82905407798279,430.8783435968809,113,1141.0143375396729,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,14,C,B,0,B,71.40561962226427,360.25075815067345,122,1266.9670581817627,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,15,C,B,0,B,71.11869710546902,429.37861694487617,113,1176.360845565796,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,16,A,A,1,A,68.64595846919512,434.0657892727334,114,1191.5383338928223,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,17,D,D,1,D,71.92692224699705,489.4871509622872,110,1127.5906562805176,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,18,A,B,0,B,71.74115790228855,331.2220903688242,139,895.7514762878418,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,19,A,A,1,A,72.90489556373711,317.6500251142051,160,1426.910638809204,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,20,A,A,1,A,70.22225343211264,439.44118366348744,115,835.4957103729248,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,21,B,B,1,B,73.97270407219736,320.18264331653535,161,1456.2363624572754,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,22,B,B,1,B,67.38544474393531,376.6212367299861,128,1286.700963973999,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,23,A,A,1,A,87.53118298393802,433.8814961163732,112,1180.1047325134277,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,24,D,D,1,D,70.6090026478376,439.63773850347314,115,722.7165699005127,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,25,D,D,1,D,72.15267506042787,372.04907504466064,126,1262.4621391296387,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,26,B,C,0,C,74.64914899970141,321.8231879566612,135,1329.3788433074951,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,27,A,A,1,A,71.2326815542971,445.1055525780192,117,1134.1171264648438,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,28,B,B,1,B,73.37564662288587,325.9630781383463,137,1342.5312042236328,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,29,C,C,1,C,71.59733657907925,477.3334173920484,106,1154.6580791473389,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,30,C,A,0,A,70.61149555147578,366.0797581511791,124,1252.509593963623,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,31,A,A,1,A,70.86921087133695,479.3821296994984,108,1151.6788005828857,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,32,D,D,1,D,74.5656550592797,337.55393781453887,143,1332.8323364257812,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,33,C,C,1,C,70.75388261930874,352.0814225272937,119,1282.9546928405762,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,34,B,B,1,B,70.95217823187171,358.9024111716532,121,1253.0295848846436,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,35,A,A,1,A,71.97869430648528,380.62891608596357,130,1250.859022140503,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,36,C,C,1,C,70.92701610043265,459.95878408542603,102,1148.6895084381104,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,37,A,A,1,A,70.32348804500704,388.0994593068896,132,1246.422529220581,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,38,D,B,0,B,71.6024631247315,445.0378282153983,117,1025.5327224731445,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,39,B,B,1,B,60.79396923825157,309.2250819446468,155,991.5814399719238,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,40,A,B,0,B,75.38919672810886,425.69674284465134,111,1137.425422668457,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,41,B,A,0,A,71.56147130385,437.6917280069422,115,1090.7342433929443,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,42,A,B,0,B,74.4130669345537,325.38398873268875,137,1337.820291519165,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,43,B,B,1,B,71.3368526180625,362.9946170554349,123,1156.7769050598145,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,44,A,A,1,A,72.71405199054716,388.86728515082496,133,1253.6242008209229,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,45,B,B,1,B,83.70302167908262,536.4835648259915,100,1086.7829322814941,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,46,C,A,0,A,70.86669973779321,471.7323463241164,104,686.2623691558838,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,47,C,B,0,B,70.29629889986292,351.37034434293747,119,1263.9846801757812,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,48,D,D,1,D,71.23775601068567,426.9724602763122,112,1186.1505508422852,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,49,C,C,1,C,77.47133560582584,347.682119205298,147,1327.3570537567139,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,50,C,D,0,D. Registers,47.32831653178097,422.8909757462158,111,1038.9807224273682,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,51,D,D,1,D,71.62810686913545,464.74901297236323,103,1134.4413757324219,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,52,C,C,1,C,70.5492257222477,350.0912314014033,118,1250.286340713501,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,53,D,D,1,D,70.7138563801577,426.8130025532564,112,1175.583839416504,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,54,B,B,1,B,70.92198581560284,474.82116548627016,107,1140.496015548706,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,55,C,C,1,C,72.19955958268655,423.7255785190219,111,1193.617582321167,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,56,A,D,0,D,70.46968041999929,471.79560915553077,105,1132.1256160736084,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,57,C,C,1,C,70.89684509039348,420.09265112868445,110,1189.2035007476807,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,58,B,B,1,B,70.72135785007072,437.76337176768845,115,1170.560359954834,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,59,B,D,0,D,87.78475178861432,440.4822713311619,113,1003.1900405883789,
