model,subject,n,accuracy_pct,fewshot,num_ctx,vram_peak_mb,gpu_offload_pct,prompt_tps_median,gen_tps_median,wall_min
phi3.5:3.8b-mini-instruct-q4_K_M,college_computer_science,100,57.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q4_K_M,college_mathematics,100,34.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q4_K_M,college_physics,100,47.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q4_K_M,electrical_engineering,100,55.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q4_K_M,formal_logic,100,57.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q4_K_M,high_school_statistics,100,66.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q4_K_M,OVERALL_micro,600,52.7,0,2048,2684,52,99.0,30.7,20.9
phi3.5:3.8b-mini-instruct-q4_K_M,OVERALL_macro,600,52.7,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q8_0,college_computer_science,100,54.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q8_0,college_mathematics,100,36.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q8_0,college_physics,100,49.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q8_0,electrical_engineering,100,56.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q8_0,formal_logic,100,55.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q8_0,high_school_statistics,100,61.0,0,2048,,,,,
phi3.5:3.8b-mini-instruct-q8_0,OVERALL_micro,600,51.8,0,2048,2632,38,75.2,13.0,30.3
phi3.5:3.8b-mini-instruct-q8_0,OVERALL_macro,600,51.8,0,2048,,,,,
qwen2.5:1.5b-instruct-fp16,college_computer_science,100,48.0,0,2048,,,,,
qwen2.5:1.5b-instruct-fp16,college_mathematics,100,38.0,0,2048,,,,,
qwen2.5:1.5b-instruct-fp16,college_physics,100,42.0,0,2048,,,,,
qwen2.5:1.5b-instruct-fp16,electrical_engineering,100,58.0,0,2048,,,,,
qwen2.5:1.5b-instruct-fp16,formal_logic,100,51.0,0,2048,,,,,
qwen2.5:1.5b-instruct-fp16,high_school_statistics,100,45.0,0,2048,,,,,
qwen2.5:1.5b-instruct-fp16,OVERALL_micro,600,47.0,0,2048,2682,51,74.2,25.4,30.1
qwen2.5:1.5b-instruct-fp16,OVERALL_macro,600,47.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q4_K_M,college_computer_science,100,44.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q4_K_M,college_mathematics,100,38.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q4_K_M,college_physics,100,41.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q4_K_M,electrical_engineering,100,61.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q4_K_M,formal_logic,100,46.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q4_K_M,high_school_statistics,100,31.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q4_K_M,OVERALL_micro,600,43.5,0,2048,2682,100,321.7,72.7,16.9
qwen2.5:1.5b-instruct-q4_K_M,OVERALL_macro,600,43.5,0,2048,,,,,
qwen2.5:1.5b-instruct-q8_0,college_computer_science,100,46.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q8_0,college_mathematics,100,37.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q8_0,college_physics,100,42.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q8_0,electrical_engineering,100,58.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q8_0,formal_logic,100,51.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q8_0,high_school_statistics,100,45.0,0,2048,,,,,
qwen2.5:1.5b-instruct-q8_0,OVERALL_micro,600,46.5,0,2048,2660,54,268.1,39.0,14.2
qwen2.5:1.5b-instruct-q8_0,OVERALL_macro,600,46.5,0,2048,,,,,
