model,num_ctx,n,prompt_tokens_median,gen_tps_median,gen_tps_q1,gen_tps_q3,ttft_ms_median,ttft_ms_q1,ttft_ms_q3,vram_peak_mb_median,power_avg_w_median,j_per_token_median,gpu_offload_pct_median
phi3.5,512,10,140,20.19,20.18,20.27,127.5,125.2,128.7,2324,nan,nan,100
phi3.5,2048,10,140,12.65,12.55,12.75,239.7,233.2,259.0,2682,nan,nan,55
phi3.5,8192,10,140,3.84,3.80,3.94,380.1,286.2,410.5,2644,nan,nan,41
phi4,512,10,117,2.00,2.00,2.01,922.0,807.2,1062.5,2538,nan,nan,28
phi4,2048,10,117,2.00,2.00,2.01,948.8,868.3,1000.1,2614,nan,nan,28
phi4,8192,10,117,1.93,1.92,1.94,1007.9,964.0,1122.1,2652,nan,nan,25
qwen2.5-coder:7b,512,10,136,3.30,3.28,3.32,1246.4,1195.5,1284.9,2690,nan,nan,49
qwen2.5-coder:7b,2048,10,136,3.21,3.16,3.25,1211.4,1193.0,1305.8,2588,nan,nan,47
qwen2.5-coder:7b,8192,10,136,3.21,3.17,3.29,1184.1,1118.8,1250.7,2632,nan,nan,46
qwen2.5:1.5b,512,10,136,41.73,41.17,42.10,497.7,468.3,644.0,1062,nan,nan,100
qwen2.5:1.5b,2048,10,136,40.77,40.13,41.16,567.9,481.8,718.8,1104,nan,nan,100
qwen2.5:1.5b,8192,10,136,40.72,39.84,41.30,539.3,474.6,749.9,1348,nan,nan,100
